what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362473950222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362474048969
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362474049033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362474051070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362474320760
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362474328229
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362474328349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362474329950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362474477009
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362474486343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362475400211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362475401371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362475416973
